,country,alcconsumption
0,Afghanistan,0.03
1,Albania,7.29
2,Algeria,0.69
6,Argentina,9.35
7,Armenia,13.66
9,Australia,10.21
10,Austria,12.4
11,Azerbaijan,13.34
13,Bahrain,4.19
14,Bangladesh,0.17
16,Belarus,18.85
17,Belgium,10.41
19,Benin,2.08
22,Bolivia,5.78
23,Bosnia and Herzegovina,9.6
24,Botswana,6.97
25,Brazil,10.08
27,Bulgaria,11.4
28,Burkina Faso,7.32
29,Burundi,9.65
30,Cambodia,4.71
31,Cameroon,7.9
32,Canada,10.2
36,Chad,4.39
37,Chile,8.81
38,China,5.56
39,Colombia,6.59
44,Costa Rica,5.81
46,Croatia,15.0
48,Cyprus,8.84
50,Denmark,12.02
54,Ecuador,9.43
55,Egypt,0.32
56,El Salvador,3.99
59,Estonia,17.24
60,Ethiopia,4.1
63,Finland,13.1
64,France,12.48
66,Gabon,9.46
68,Georgia,6.66
69,Germany,12.14
70,Ghana,3.11
72,Greece,11.01
77,Guatemala,7.1
78,Guinea,0.79
81,Haiti,5.92
82,Honduras,4.43
84,Hungary,16.12
85,Iceland,7.38
86,India,2.69
87,Indonesia,0.56
88,Iran,1.03
89,Iraq,0.47
90,Ireland,14.92
91,Israel,2.52
92,Italy,9.72
93,Jamaica,5.17
94,Japan,7.79
95,Jordan,0.65
96,Kazakhstan,11.1
97,Kenya,3.88
101,Kuwait,0.1
102,Kyrgyzstan,4.72
104,Latvia,13.45
105,Lebanon,2.3
107,Liberia,5.07
108,Libya,0.1
110,Lithuania,16.3
111,Luxembourg,12.84
114,Madagascar,1.32
115,Malawi,1.44
116,Malaysia,0.87
118,Mali,0.99
119,Malta,4.1
122,Mauritania,0.11
123,Mauritius,3.53
124,Mexico,8.55
126,Moldova,23.01
128,Mongolia,3.41
129,Montenegro,
130,Morocco,1.24
132,Myanmar,0.58
135,Nepal,2.42
136,Netherlands,9.75
139,New Zealand,9.99
140,Nicaragua,5.21
141,Niger,0.34
142,Nigeria,12.72
144,Norway,8.35
146,Pakistan,0.05
148,Panama,7.3
150,Paraguay,7.91
151,Peru,6.53
152,Philippines,6.08
153,Poland,14.43
154,Portugal,13.89
158,Romania,16.15
159,Russia,16.23
160,Rwanda,9.99
167,Saudi Arabia,0.34
168,Senegal,0.51
169,Serbia,12.21
172,Sierra Leone,9.48
173,Singapore,1.54
175,Slovenia,14.94
178,South Africa,10.16
179,Spain,11.83
180,Sri Lanka,0.81
184,Sweden,9.5
185,Switzerland,11.41
188,Tajikistan,3.39
189,Tanzania,7.86
190,Thailand,7.08
192,Togo,1.92
195,Tunisia,1.05
196,Turkey,3.02
197,Turkmenistan,5.0
199,Uganda,16.4
200,Ukraine,17.47
201,United Arab Emirates,0.52
202,United Kingdom,13.24
203,United States,9.7
204,Uruguay,8.99
205,Uzbekistan,3.61
207,Venezuela,7.6
208,Vietnam,3.91
211,Zambia,3.56
212,Zimbabwe,4.96
