,Country Name,Country Code,2015,2016,2017,2018,2019,2020,Unnamed: 65
2,Afghanistan,AFG,578.466352941708,509.220100485356,519.888912573073,493.756581366026,507.103391875763,508.808409485223,
5,Albania,ALB,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5355.84779459031,5215.27675237003,
60,Algeria,DZA,4177.88689169574,3946.45242459305,4109.70344220826,4153.95623446741,3975.5089933335,3310.38653352368,
9,Argentina,ARG,13789.060424772,12790.2424732447,14613.041824658,11633.4980086503,9912.28180859863,8441.9194391094,
10,Armenia,ARM,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145,4622.73818208855,4267.45211938157,
13,Australia,AUS,56755.7217124249,49971.131456129,54027.9668184568,57354.9640455891,55057.2046960666,51812.1540373988,
14,Austria,AUT,44178.0473777432,45276.8314351693,47309.3662735282,51453.1470238016,50121.5542131186,48105.3646248411,
15,Azerbaijan,AZE,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,4214.3113363475,
22,Bahrain,BHR,22634.0856475674,22608.4525623673,23742.9373424159,23991.0413905597,23443.4348283266,,
20,Bangladesh,BGD,1248.45330989613,1401.56463513179,1563.76781861826,1698.13208078712,1855.6915096678,1968.79222484581,
25,Belarus,BLR,5949.10630699748,5022.62664330491,5761.74712023007,6330.0752464187,6839.10383292452,6411.2278131981,
17,Belgium,BEL,40991.8081381432,41984.1030335609,44089.3100875118,47554.7463078937,46414.4352334354,44594.3781075628,
18,Benin,BEN,1076.79670153022,1087.28730384853,1136.59397046254,1240.83096186066,1219.51547853535,1291.04096203645,
28,Bolivia,BOL,3035.97165495107,3076.65643933721,3351.12434432642,3548.59078021899,3552.06814383653,3143.04549424189,
24,Bosnia and Herzegovina,BIH,4727.27633310331,4994.68904038619,5394.57995305594,6072.18462285304,6120.11262579357,6031.55686867658,
33,Botswana,BWA,6799.87017783413,7243.93397430839,7893.41867148033,8279.81845660293,7970.79696800641,6710.990411266,
29,Brazil,BRA,8814.00141787464,8710.09677403838,9928.6430632111,9151.44525254365,8897.48777044292,6796.84454227877,
21,Bulgaria,BGR,7055.93567291245,7548.85500737534,8334.08172775332,9427.73043039881,9828.14851478139,9975.78000070924,
19,Burkina Faso,BFA,653.32726813947,688.250696258197,734.996267960528,813.099689441984,786.895437677452,830.925144621939,
16,Burundi,BDI,305.549646023245,282.193028464612,292.998009548647,271.752496382505,261.24529116164,274.009523229095,
123,Cambodia,KHM,1162.90499489448,1269.59149895221,1385.26006616159,1512.12698889457,1643.12138876475,1512.72775264685,
42,Cameroon,CMR,1327.50256128813,1364.32954020397,1425.10636777271,1534.49224145452,1507.44979812212,1499.37284272297,
35,Canada,CAN,43596.1355365546,42315.6037056806,45129.3564395662,46454.7433947203,46326.6726375572,43241.6178282827,
229,Chad,TCD,776.019752284262,693.449767448537,665.948884859102,726.151007088549,709.54004317463,614.465189935689,
39,Chile,CHL,13574.1692377497,13753.592148512,14998.8170563212,15888.144355398,14741.7144039954,13231.7042069383,
40,China,CHN,8066.94263493206,8147.93770549385,8879.43866711453,9976.677137263,10216.6303341031,10500.3956159637,
45,Colombia,COL,6175.87602970259,5870.77795724164,6376.70671552601,6729.58333198168,6424.9794924083,5332.77352412685,
44,Congo (Brazzaville),COG,2447.53930825728,2039.45322287157,2173.68025252268,2601.41048286237,2359.17730900034,1972.54524619093,
43,Congo (Kinshasa),COD,497.317039077365,471.318822463486,467.07423172679,557.064411697928,580.716860516731,556.813185299175,
