,country,happiness_score,continent,happiness_score_2016,happiness_score_2017,happiness_score_2018,happiness_score_2019,happiness_score_2020
0,Norway,7.537000179290769,Europe,7.5870000000000015,7.5870000000000015,7.5870000000000015,7.5870000000000015,7.5870000000000015
1,Denmark,7.52199983596802,Europe,7.561,7.561,7.561,7.561,7.561
2,Iceland,7.50400018692017,Europe,7.527,7.527,7.527,7.527,7.527
3,Switzerland,7.49399995803833,Europe,7.522,7.522,7.522,7.522,7.522
4,Finland,7.468999862670901,Europe,7.427,7.427,7.427,7.427,7.427
5,Netherlands,7.3769998550415,Europe,7.4060000000000015,7.4060000000000015,7.4060000000000015,7.4060000000000015,7.4060000000000015
6,Canada,7.31599998474121,North America,7.377999999999999,7.377999999999999,7.377999999999999,7.377999999999999,7.377999999999999
7,New Zealand,7.31400012969971,Australia,7.364,7.364,7.364,7.364,7.364
8,Sweden,7.28399991989136,Europe,7.286,7.286,7.286,7.286,7.286
9,Australia,7.28399991989136,Australia,7.284,7.284,7.284,7.284,7.284
10,Israel,7.212999820709231,Asia,7.278,7.278,7.278,7.278,7.278
11,Costa Rica,7.0789999961853,South America,7.226,7.226,7.226,7.226,7.226
12,Austria,7.00600004196167,Europe,7.2,7.2,7.2,7.2,7.2
13,United States,6.993000030517581,North America,7.187,7.187,7.187,7.187,7.187
14,Ireland,6.977000236511231,Europe,7.119,7.119,7.119,7.119,7.119
15,Germany,6.9510002136230495,Europe,6.983,6.983,6.983,6.983,6.983
16,Belgium,6.89099979400635,Europe,6.9460000000000015,6.9460000000000015,6.9460000000000015,6.9460000000000015,6.9460000000000015
17,Luxembourg,6.86299991607666,Europe,6.94,6.94,6.94,6.94,6.94
18,United Kingdom,6.71400022506714,Europe,6.937,6.937,6.937,6.937,6.937
19,Chile,6.65199995040894,South America,6.901,6.901,6.901,6.901,6.901
20,United Arab Emirates,6.6479997634887695,Asia,6.867000000000001,6.867000000000001,6.867000000000001,6.867000000000001,6.867000000000001
21,Brazil,6.63500022888184,South America,6.81,6.81,6.81,6.81,6.81
22,Czech Republic,6.60900020599365,Europe,6.797999999999999,6.797999999999999,6.797999999999999,6.797999999999999,6.797999999999999
23,Argentina,6.59899997711182,South America,6.7860000000000005,6.7860000000000005,6.7860000000000005,6.7860000000000005,6.7860000000000005
24,Mexico,6.57800006866455,North America,6.75,6.75,6.75,6.75,6.75
25,Singapore,6.57200002670288,Asia,6.67,6.67,6.67,6.67,6.67
26,Malta,6.52699995040894,Europe,6.575,6.575,6.575,6.575,6.575
27,Guatemala,6.4539999961853,South America,6.574,6.574,6.574,6.574,6.574
28,Uruguay,6.4539999961853,South America,6.505,6.505,6.505,6.505,6.505
29,Panama,6.4520001411438,South America,6.485,6.485,6.485,6.485,6.485
30,France,6.44199991226196,Europe,6.477,6.477,6.477,6.477,6.477
31,Thailand,6.423999786376951,Asia,6.455,6.455,6.455,6.455,6.455
32,Spain,6.40299987792969,Europe,6.4110000000000005,6.4110000000000005,6.4110000000000005,6.4110000000000005,6.4110000000000005
33,Colombia,6.35699987411499,South America,6.329,6.329,6.329,6.329,6.329
34,Saudi Arabia,6.343999862670901,Asia,6.3020000000000005,6.3020000000000005,6.3020000000000005,6.3020000000000005,6.3020000000000005
35,Kuwait,6.10500001907349,Asia,6.295,6.295,6.295,6.295,6.295
36,Slovakia,6.09800004959106,Europe,6.13,6.13,6.13,6.13,6.13
37,Bahrain,6.08699989318848,Asia,6.1229999999999976,6.1229999999999976,6.1229999999999976,6.1229999999999976,6.1229999999999976
38,Malaysia,6.08400011062622,Asia,6.002999999999999,6.002999999999999,6.002999999999999,6.002999999999999,6.002999999999999
39,Nicaragua,6.07100009918213,South America,5.995,5.995,5.995,5.995,5.995
40,Ecuador,6.00799989700317,South America,5.987,5.987,5.987,5.987,5.987
41,El Salvador,6.0029997825622585,South America,5.984,5.984,5.984,5.984,5.984
42,Poland,5.97300004959106,Europe,5.975,5.975,5.975,5.975,5.975
43,Uzbekistan,5.97100019454956,Asia,5.96,5.96,5.96,5.96,5.96
44,Italy,5.96400022506714,Europe,5.948,5.948,5.948,5.948,5.948
45,Russia,5.962999820709231,Europe,5.89,5.89,5.89,5.89,5.89
46,Japan,5.92000007629395,Asia,5.888999999999999,5.888999999999999,5.888999999999999,5.888999999999999,5.888999999999999
47,Lithuania,5.90199995040894,Europe,5.877999999999999,5.877999999999999,5.877999999999999,5.877999999999999,5.877999999999999
48,Algeria,5.8720002174377415,Africa,5.855,5.855,5.855,5.855,5.855
49,Latvia,5.849999904632571,Europe,5.848,5.848,5.848,5.848,5.848
50,South Korea,5.837999820709231,Asia,5.8329999999999975,5.8329999999999975,5.8329999999999975,5.8329999999999975,5.8329999999999975
51,Moldova,5.837999820709231,Europe,5.827999999999999,5.827999999999999,5.827999999999999,5.827999999999999,5.827999999999999
52,Romania,5.824999809265139,Europe,5.824,5.824,5.824,5.824,5.824
53,Bolivia,5.82299995422363,South America,5.813,5.813,5.813,5.813,5.813
54,Turkmenistan,5.82200002670288,Asia,5.791,5.791,5.791,5.791,5.791
55,Kazakhstan,5.8189997673034695,Asia,5.77,5.77,5.77,5.77,5.77
56,Slovenia,5.75799989700317,Europe,5.759,5.759,5.759,5.759,5.759
57,Peru,5.71500015258789,South America,5.754,5.754,5.754,5.754,5.754
58,Mauritius,5.62900018692017,Africa,5.716,5.716,5.716,5.716,5.716
59,Cyprus,5.62099981307983,Asia,5.709,5.709,5.709,5.709,5.709
60,Estonia,5.61100006103516,Europe,5.689,5.689,5.689,5.689,5.689
61,Belarus,5.5689997673034695,Europe,5.605,5.605,5.605,5.605,5.605
62,Libya,5.525000095367429,Africa,5.589,5.589,5.589,5.589,5.589
63,Turkey,5.5,Asia,5.547999999999999,5.547999999999999,5.547999999999999,5.547999999999999,5.547999999999999
64,Paraguay,5.493000030517581,South America,5.477,5.477,5.477,5.477,5.477
65,Philippines,5.42999982833862,Asia,5.428999999999999,5.428999999999999,5.428999999999999,5.428999999999999,5.428999999999999
