id,country,happiness_score,continent,happiness_score_2016,happiness_score_2017,happiness_score_2018,happiness_score_2019,happiness_score_2020,alcohol,regime_r
0.0,Norway,7.537000179290769,Europe,7.5870000000000015,7.769,7.6320000000000014,7.526,7.808700085,8.35,Democracy
1.0,Denmark,7.52199983596802,Europe,7.561,7.6,7.5939999999999985,7.508999999999999,7.645599842,12.02,Democracy
3.0,Switzerland,7.49399995803833,Europe,7.522,7.494,7.495,7.497999999999997,7.504499912000001,11.41,Democracy
4.0,Finland,7.468999862670901,Europe,7.427,7.487999999999999,7.487,7.4129999999999985,7.4879999160000015,13.1,Democracy
5.0,Netherlands,7.3769998550415,Europe,7.4060000000000015,7.48,7.441,7.404,7.448900223,9.75,Democracy
6.0,Canada,7.31599998474121,North America,7.377999999999999,7.343,7.3279999999999985,7.338999999999999,7.353499889,10.2,Democracy
7.0,New Zealand,7.31400012969971,Australia,7.364,7.307,7.324,7.334,7.299600123999999,9.99,Democracy
8.0,Sweden,7.28399991989136,Europe,7.286,7.278,7.314,7.313,7.294199944,9.5,Democracy
9.0,Australia,7.28399991989136,Australia,7.284,7.246,7.272,7.291,7.237500191,10.21,Democracy
10.0,Israel,7.212999820709231,Asia,7.278,7.228,7.19,7.267,7.23210001,2.52,Democracy
11.0,Costa Rica,7.0789999961853,South America,7.226,7.1670000000000025,7.138999999999999,7.119,7.222799778,5.81,Democracy
12.0,Austria,7.00600004196167,Europe,7.2,7.138999999999999,7.072,7.104,7.164500237,12.4,Democracy
13.0,United States,6.993000030517581,North America,7.187,7.09,6.977,7.0870000000000015,7.128600121,9.7,Democracy
14.0,Ireland,6.977000236511231,Europe,7.119,7.053999999999999,6.965,6.994,7.121399879,14.92,Democracy
15.0,Germany,6.9510002136230495,Europe,6.983,7.021,6.9270000000000005,6.952000000000001,7.093699932000001,12.14,Democracy
16.0,Belgium,6.89099979400635,Europe,6.9460000000000015,6.985,6.91,6.928999999999999,7.075799942000001,10.41,Democracy
