country,happy,year
Norway,7.5870000000000015,2016
Denmark,7.561,2016
Switzerland,7.522,2016
Finland,7.427,2016
Netherlands,7.4060000000000015,2016
Canada,7.377999999999999,2016
New Zealand,7.364,2016
Sweden,7.286,2016
Australia,7.284,2016
Israel,7.278,2016
Costa Rica,7.226,2016
Austria,7.2,2016
United States,7.187,2016
Ireland,7.119,2016
Germany,6.983,2016
Belgium,6.9460000000000015,2016
Luxembourg,6.94,2016
United Kingdom,6.937,2016
Chile,6.901,2016
United Arab Emirates,6.867000000000001,2016
Brazil,6.81,2016
Czech Republic,6.797999999999999,2016
Argentina,6.7860000000000005,2016
Mexico,6.75,2016
Singapore,6.67,2016
Guatemala,6.574,2016
Uruguay,6.505,2016
Panama,6.485,2016
France,6.477,2016
Thailand,6.455,2016
Spain,6.4110000000000005,2016
Colombia,6.329,2016
Saudi Arabia,6.3020000000000005,2016
Kuwait,6.295,2016
Bahrain,6.1229999999999976,2016
Malaysia,6.002999999999999,2016
Nicaragua,5.995,2016
Ecuador,5.987,2016
El Salvador,5.984,2016
Poland,5.975,2016
Uzbekistan,5.96,2016
Italy,5.948,2016
Russia,5.89,2016
Japan,5.888999999999999,2016
Lithuania,5.877999999999999,2016
Algeria,5.855,2016
Latvia,5.848,2016
Moldova,5.827999999999999,2016
Romania,5.824,2016
Bolivia,5.813,2016
Turkmenistan,5.791,2016
Kazakhstan,5.77,2016
Slovenia,5.759,2016
Peru,5.754,2016
Mauritius,5.716,2016
Cyprus,5.709,2016
Estonia,5.689,2016
Belarus,5.605,2016
Libya,5.589,2016
Turkey,5.547999999999999,2016
Paraguay,5.477,2016
Philippines,5.428999999999999,2016
Serbia,5.399,2016
Jordan,5.36,2016
Hungary,5.332000000000002,2016
Jamaica,5.2860000000000005,2016
Croatia,5.268,2016
Kosovo,5.2120000000000015,2016
China,5.194,2016
Pakistan,5.192,2016
Indonesia,5.192,2016
Venezuela,5.14,2016
Montenegro,5.129,2016
Morocco,5.124,2016
Azerbaijan,5.122999999999998,2016
Dominican Republic,5.102,2016
Greece,5.098,2016
Lebanon,5.073,2016
Portugal,5.013,2016
Honduras,4.949,2016
Nigeria,4.885,2016
Vietnam,4.874,2016
Tajikistan,4.857,2016
Kyrgyzstan,4.839,2016
Nepal,4.8,2016
Mongolia,4.788,2016
South Africa,4.7860000000000005,2016
Tunisia,4.739,2016
Egypt,4.694,2016
Bulgaria,4.686,2016
Sierra Leone,4.681,2016
Cameroon,4.677,2016
Iran,4.642,2016
Albania,4.633,2016
Bangladesh,4.61,2016
Kenya,4.5710000000000015,2016
Senegal,4.518,2016
Zambia,4.517,2016
Iraq,4.513999999999999,2016
Gabon,4.512,2016
Ethiopia,4.507,2016
Sri Lanka,4.436,2016
Armenia,4.419,2016
India,4.35,2016
Mauritania,4.332,2016
Georgia,4.297,2016
Mali,4.271,2016
Ivory Coast,4.252,2016
Cambodia,4.218,2016
Ghana,4.194,2016
Ukraine,4.077,2016
Uganda,3.995,2016
Burkina Faso,3.989,2016
Niger,3.931,2016
Malawi,3.904,2016
Chad,3.896,2016
Zimbabwe,3.845,2016
Afghanistan,3.819,2016
Botswana,3.781,2016
Benin,3.681,2016
Madagascar,3.667,2016
Haiti,3.656,2016
Yemen,3.655,2016
Liberia,3.587,2016
Guinea,3.575,2016
